Joel,Embiid,C,27,PHI,0.703737745,33.77941176,0.188,0.602,7.2,31.1,23.5,1.7,3.9,11.3,37.2,0.371,0.529,0.814
Christian,Wood,C,26,HOU,0.641544118,30.79411765,0.383,0.378,5.7,30.4,12.2,1.2,2.8,11,23.3,0.39,0.57,0.623
Jakob,Poeltl,C,26,SAS,0.603553922,28.97058824,0.002,0.287,13.9,20,14,1.1,5,12.7,18.3,1,0.618,0.495
Reggie,Bullock,SF,30,DAL,0.582720588,27.97058824,0.782,0.096,1.9,12.2,6.1,1.1,0.7,7.1,13.3,0.36,0.55,0.833
Gabe,Vincent,PG,25,MIA,0.48682598,23.36764706,0.63,0.105,1.6,7.3,19.4,2,0.8,15.4,17.8,0.368,0.5,0.815
Max,Strus,SF,25,MIA,0.486213235,23.33823529,0.784,0.094,1.7,12.5,8.8,0.9,1.1,8.8,18.1,0.41,0.557,0.792
Isaiah,Hartenstein,C,23,LAC,0.37254902,17.88235294,0.082,0.361,10.5,18.2,20.5,2,5.4,16.5,18.4,0.467,0.64,0.689
Zach,LaVine,SF,26,CHI,0.723880597,34.74626866,0.401,0.316,1.1,13.8,20.8,0.9,0.9,11.2,28.8,0.389,0.534,0.853
Donovan,Mitchell,SG,25,UTA,0.70460199,33.82089552,0.475,0.227,2.7,10.6,27.7,2.2,0.5,11.7,32.9,0.355,0.533,0.853
Jrue,Holiday,PG,31,MIL,0.686256219,32.94029851,0.336,0.189,3.4,10.9,31.8,2.4,1.3,15,23.5,0.411,0.547,0.761
Giannis,Antetokounmpo,PF,27,MIL,0.685323383,32.89552239,0.194,0.615,6.6,30.4,31.7,1.6,4,12.2,34.9,0.293,0.616,0.722
Jalen,Green,SG,19,HOU,0.664800995,31.91044776,0.48,0.247,1.7,10,13.1,1,0.8,11.3,23.7,0.343,0.502,0.797
Isaac,Okoro,SF,21,CLE,0.615982587,29.56716418,0.364,0.36,4.1,7.1,8.5,1.4,1,10.4,12.4,0.35,0.555,0.768
Jae,Crowder,PF,31,PHO,0.586442786,28.14925373,0.671,0.165,1.8,18,8.3,2.4,1.4,8.6,14.6,0.348,0.503,0.789
Oshae,Brissett,SF,23,IND,0.486318408,23.34328358,0.468,0.324,7.6,18.1,6.4,1.4,1.6,8.5,17.3,0.35,0.465,0.695
Austin,Rivers,SG,29,DEN,0.460199005,22.08955224,0.66,0.126,1.5,6.9,8,1.7,0.4,12.8,12.6,0.342,0.563,0.727
Furkan,Korkmaz,SG,24,PHI,0.439676617,21.10447761,0.566,0.179,1.8,11.9,13.1,1.2,0.6,8.6,17.6,0.289,0.515,0.81
Cam,Thomas,SG,20,BRK,0.365671642,17.55223881,0.346,0.209,1.5,13.1,9.7,1.4,0.6,9.1,22.1,0.27,0.52,0.829
JaMychal,Green,PF,31,DEN,0.337375622,16.19402985,0.379,0.284,8.6,19.9,7.6,1.9,2.2,13.4,17.2,0.266,0.621,0.871
Dewayne,Dedmon,C,32,MIA,0.331156716,15.89552239,0.162,0.345,11.4,29.4,6.7,1.1,4.2,17.3,16.9,0.404,0.597,0.75
Josh,Green,SG,21,DAL,0.323072139,15.50746269,0.305,0.176,5.6,11.7,11,2.2,1.2,13.8,13.9,0.359,0.573,0.689
Jaylen,Brown,SF,25,BOS,0.700757576,33.63636364,0.381,0.261,2.6,16.7,17.9,1.6,0.7,11.6,30.5,0.358,0.544,0.758
Kyle,Kuzma,PF,26,WAS,0.695707071,33.39393939,0.401,0.234,3.6,24.3,16.3,0.9,2.2,14.1,24.2,0.341,0.526,0.712
Tyler,Herro,SG,22,MIA,0.678977273,32.59090909,0.391,0.195,1.7,15.4,20.9,1,0.4,12.5,28.8,0.399,0.477,0.868
Khris,Middleton,SF,30,MIL,0.675820707,32.43939394,0.425,0.285,2.1,15.3,25.5,1.7,0.8,14.2,26.7,0.373,0.494,0.89
Rudy,Gobert,C,29,UTA,0.669191919,32.12121212,0.008,0.864,12.9,36.3,5.1,1,5.7,14.5,16.9,0,0.718,0.69
Grayson,Allen,SG,26,MIL,0.569760101,27.34848485,0.684,0.13,1.9,10.9,7.6,1.2,1,6.7,15.2,0.409,0.533,0.865
Cameron,Johnson,PF,25,PHO,0.546085859,26.21212121,0.644,0.188,2.7,14,7.7,1.6,0.8,6.7,17.5,0.425,0.523,0.86
Matisse,Thybulle,SG,24,PHI,0.531881313,25.53030303,0.48,0.143,2.8,7.1,6.1,3.4,3.8,10.9,9.5,0.313,0.673,0.791
Danilo,Gallinari,PF,33,ATL,0.527777778,25.33333333,0.492,0.261,2.3,17.8,8.5,0.8,0.6,5.4,18.4,0.381,0.485,0.904
Killian,Hayes,PG,20,DET,0.519886364,24.95454545,0.364,0.161,2.2,12,24.6,2.3,1.9,18.4,15.7,0.263,0.452,0.77
Cedi,Osman,SF,26,CLE,0.461489899,22.15151515,0.628,0.229,1.9,9,14.1,1.8,0.6,9.6,21.1,0.357,0.559,0.664
